Source File,Order ID,Ship Name,Ship Address,Ship City,Ship Region,Ship Postal Code,Ship Country,Customer ID,Customer Name,Employee Name,Shipper ID,Shipper Name,Order Date,Shipped Date,Product Name,Quantity,Unit Price,Product Total,Total Price
order_10248.pdf,10248,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France,VINET,Vins et alcools Chevalier,Steven Buchanan,3,Federal Shipping,2016-07-04,2016-07-16,Queso Cabrales,12,14.0,168.0,440.0
order_10248.pdf,10248,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France,VINET,Vins et alcools Chevalier,Steven Buchanan,3,Federal Shipping,2016-07-04,2016-07-16,Singaporean Hokkien Fried Mee,10,9.8,98.0,440.0
order_10248.pdf,10248,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France,VINET,Vins et alcools Chevalier,Steven Buchanan,3,Federal Shipping,2016-07-04,2016-07-16,Mozzarella di Giovanni,5,34.8,174.0,440.0
order_10249.pdf,10249,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,TOMSP,Toms Spezialitäten,Michael Suyama,1,Speedy Express,2016-07-05,2016-07-10,Tofu,9,18.6,167.4,1863.4
order_10249.pdf,10249,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany,TOMSP,Toms Spezialitäten,Michael Suyama,1,Speedy Express,2016-07-05,2016-07-10,Manjimup Dried Apples,40,42.4,1696.0,1863.4
order_10250.pdf,10250,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Margaret Peacock,2,United Package,2016-07-08,2016-07-12,Jack's New England Clam Chowder,10,7.7,77.0,1813.0
order_10250.pdf,10250,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Margaret Peacock,2,United Package,2016-07-08,2016-07-12,Manjimup Dried Apples,35,42.4,1484.0,1813.0
order_10250.pdf,10250,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Margaret Peacock,2,United Package,2016-07-08,2016-07-12,Louisiana Fiery Hot Pepper Sauce,15,16.8,252.0,1813.0
order_10251.pdf,10251,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,VICTE,Victuailles en stock,Janet Leverling,1,Speedy Express,2016-07-08,2016-07-15,Gustaf's Knäckebröd,6,16.8,100.80000000000001,670.8
order_10251.pdf,10251,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,VICTE,Victuailles en stock,Janet Leverling,1,Speedy Express,2016-07-08,2016-07-15,Ravioli Angelo,15,15.6,234.0,670.8
order_10251.pdf,10251,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,VICTE,Victuailles en stock,Janet Leverling,1,Speedy Express,2016-07-08,2016-07-15,Louisiana Fiery Hot Pepper Sauce,20,16.8,336.0,670.8
order_10252.pdf,10252,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,SUPRD,Suprêmes délices,Margaret Peacock,2,United Package,2016-07-09,2016-07-11,Sir Rodney's Marmalade,40,64.8,2592.0,3730.0
order_10252.pdf,10252,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,SUPRD,Suprêmes délices,Margaret Peacock,2,United Package,2016-07-09,2016-07-11,Geitost,25,2.0,50.0,3730.0
order_10252.pdf,10252,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,SUPRD,Suprêmes délices,Margaret Peacock,2,United Package,2016-07-09,2016-07-11,Camembert Pierrot,40,27.2,1088.0,3730.0
order_10253.pdf,10253,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Janet Leverling,2,United Package,2016-07-10,2016-07-16,Gorgonzola Telino,20,10.0,200.0,1444.8000000000002
order_10253.pdf,10253,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Janet Leverling,2,United Package,2016-07-10,2016-07-16,Chartreuse verte,42,14.4,604.8000000000001,1444.8000000000002
order_10253.pdf,10253,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,HANAR,Hanari Carnes,Janet Leverling,2,United Package,2016-07-10,2016-07-16,Maxilaku,40,16.0,640.0,1444.8000000000002
order_10254.pdf,10254,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,CHOPS,Chop-suey Chinese,Steven Buchanan,2,United Package,2016-07-11,2016-07-23,Guaraná Fantástica,15,3.6,54.0,625.2
order_10254.pdf,10254,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,CHOPS,Chop-suey Chinese,Steven Buchanan,2,United Package,2016-07-11,2016-07-23,Pâté chinois,21,19.2,403.2,625.2
order_10254.pdf,10254,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,CHOPS,Chop-suey Chinese,Steven Buchanan,2,United Package,2016-07-11,2016-07-23,Longlife Tofu,21,8.0,168.0,625.2
order_10255.pdf,10255,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,RICSU,Richter Supermarkt,Anne Dodsworth,3,Federal Shipping,2016-07-12,2016-07-15,Chang,20,15.2,304.0,2490.5
order_10255.pdf,10255,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,RICSU,Richter Supermarkt,Anne Dodsworth,3,Federal Shipping,2016-07-12,2016-07-15,Pavlova,35,13.9,486.5,2490.5
